formula,synonym,description
C5H4N4S,mercaptopurine,"Mercaptopurine (6-MP), sold under the brand name Purinethol among others, is a medication used for cancer and autoimmune diseases. Specifically it is used to treat acute lymphocytic leukemia (ALL), acute promyelocytic leukemia (APL), Crohn's disease, and ulcerative colitis. For acute lymphocytic leukemia it is generally used with methotrexate. It is taken orally.
"
C5H4N4O2,xanthine,"Xanthine (/ˈzænθiːn/ or /ˈzænθaɪn/, from Ancient Greek ξανθός xanthós ""yellow"" due to its yellowish-white appearance; archaically xanthic acid; systematic name 3,7-dihydropurine-2,6-dione) is a purine base found in most human body tissues and fluids, as well as in other organisms. Several stimulants are derived from xanthine, including caffeine, theophylline, and theobromine.
"
CH3COO−,acetate ion,"An acetate is a salt formed by the combination of acetic acid with a base (e.g. alkaline, earthy, metallic, nonmetallic or radical base). ""Acetate"" also describes the conjugate base or ion (specifically, the negatively charged ion called an anion) typically found in aqueous solution and written with the chemical formula C2H3O−2. The neutral molecules formed by the combination of the acetate ion and a positive ion (called a cation) are also commonly called ""acetates"" (hence, acetate of lead, acetate of aluminium, etc.). The simplest of these is hydrogen acetate (called acetic acid) with corresponding salts, esters, and the polyatomic anion CH3CO−2, or CH3COO−.
"
C5H4N4O,allopurinol,"Allopurinol is a medication used to decrease high blood uric acid levels. It is specifically used to prevent gout, prevent specific types of kidney stones and for the high uric acid levels that can occur with chemotherapy. It is taken orally (by mouth) or intravenously (injected into a vein).
"
C5H4N2O4,orotic acid,"Orotic acid (/ɔːˈrɒtɪk/) is a pyrimidinedione and a carboxylic acid.  Historically, it was believed to be part of the vitamin B complex and was called vitamin B13, but it is now known that it is not a vitamin.
"
C5H4N2O2,pyrazinoic acid,"Pyrazinamid is currently used as a treatment for tuberculosis. Mycobacterium tuberculosis converts pyrazinamid into pyrazinoic acid. The use of pyrazinoic acid has been investigated as a possible treatment for pyrazinamid resistant strains of Mycobacterium tuberculosis.
It has been shown that the MICs of esters of pyrazinoic acid are lower, therefore they are more potent antibiotics. Moreover, they cross the bacterial membrane more easily, due to their higher lipophilicity.
"
C5H4NCOOH,niacin,"Niacin, also known as nicotinic acid, is an organic compound and a vitamer of vitamin B3, an essential human nutrient. It is produced by plants and animals from the amino acid tryptophan. Niacin is obtained in the diet from a variety of whole and processed foods, with highest contents in fortified packaged foods, meat, poultry, red fish such as tuna and salmon, lesser amounts in nuts, legumes and seeds. Niacin as a dietary supplement is used to treat pellagra, a disease caused by niacin deficiency. Signs and symptoms of pellagra include skin and mouth lesions, anemia, headaches, and tiredness. Many countries mandate its addition to wheat flour or other food grains, thereby reducing the risk of pellagra.
"
C5H3ClN4,6-chloropurine,NO DESCRIPTION
C5H3ClN2O2,2-chloro-5-nitropyridine,NO DESCRIPTION
C5H3Br2N,"3,5-dibromopyridine",NO DESCRIPTION
C5H3BrN2O2,2-bromo-5-nitropyridine,NO DESCRIPTION
C4H11NO2,diethanolamine,"Diethanolamine, often abbreviated as DEA or DEOA, is an organic compound with the formula HN(CH2CH2OH)2. Pure diethanolamine is a white solid at room temperature, but its tendencies to absorb water and to supercool meaning that it is often encountered as a colorless, viscous liquid. Diethanolamine is polyfunctional, being a secondary amine and a diol. Like other organic amines, diethanolamine acts as a weak base. Reflecting the hydrophilic character of the secondary amine and hydroxyl groups, DEA is soluble in water. Amides prepared from DEA are often also hydrophilic. In 2013, the chemical was classified by the International Agency for Research on Cancer as ""possibly carcinogenic to humans"" (Group 2B).
"
C5H5NO,2-pyridone,"2-Pyridone is an organic compound with the formula C5H4NH(O). It is a colourless solid. It is well known to form hydrogen bonded dimers and it is also a classic case of a compound that exists as tautomers.
"
C4H7NO3,aceturic acid,"Aceturic acid (N-acetylglycine) is a derivative of the amino acid glycine. The conjugate base of this carboxylic acid is called aceturate, a term used for its esters and salts.
"
C6H4O2,parabenzoquinone  quinone,"The quinones are a class of organic compounds that are formally ""derived from aromatic compounds [such as benzene or naphthalene] by conversion of an even number of –CH=  groups into –C(=O)– groups with any necessary rearrangement of double bonds, resulting in ""a fully conjugated cyclic dione structure"".
The archetypical member of the class is 1,4-benzoquinone or cyclohexadienedione, often called simply ""quinone"" (thus the name of the class). Other important examples are 1,2-benzoquinone (ortho-quinone), 1,4-naphthoquinone and 9,10-anthraquinone.
"
C6H5CHO,benzaldehyde,"Benzaldehyde (C6H5CHO) is an organic compound consisting of a benzene ring with a formyl substituent. It is among the simplest aromatic aldehydes and one of the most industrially useful.
"
C6H12O6,glucose,"Glucose is a sugar with the molecular formula C6H12O6. Glucose is overall the most abundant monosaccharide, a subcategory of carbohydrates. Glucose is mainly made by plants and most algae during photosynthesis from water and carbon dioxide, using energy from sunlight, where it is used to make cellulose in cell walls, the most abundant carbohydrate in the world.
"
C6H12O6,fructose,"Fructose (/ˈfrʌktoʊs, -oʊz/), or fruit sugar, is a ketonic simple sugar found in many plants, where it is often bonded to glucose to form the disaccharide sucrose. It is one of the three dietary monosaccharides, along with glucose and galactose, that are absorbed by the gut directly into the blood of the portal vein during digestion. The liver then converts both fructose and galactose into glucose, so that dissolved glucose, known as blood sugar, is the only monosaccharide present in circulating blood. 
"
C6H12O3,4-Hydroxy-4-methylpentanoic acid,"4-Hydroxy-4-methylpentanoic acid (UMB68) is a tertiary alcohol, similar in structure to the drug GHB. The molecule has been synthesized and tested on animals in order to further research the effects of GHB. UMB68 has been shown to bind selectively to the GHB receptor ligand in binding assays, yet does not bind to GABAergic receptors. As such, it can provide a useful tool in studying the pharmacology of the GHB receptor in absence of GABAergic effects.
"
C6H12OS,4-Mercapto-4-methyl-2-pentanone,"4-Mercapto-4-methyl-2-pentanone is an aroma compound with the chemical formula C6H12OS . It has a tropical flavor.  It is found in Sauvignon wines  and is a potent odorant of new-world hops.
"
C6H12N4O3,Streptolidine,"Streptolidine is an amino acid isolated from the hydrolyzate of the Streptomyces antibiotics 
streptothricin and streptolin.  Its structure was first elucidated by chemical degradation and later by x-ray crystallography.
"
C6H12,cyclohexane,"Cyclohexane is a cycloalkane with the molecular formula C6H12. Cyclohexane is non-polar. Cyclohexane is a colourless, flammable liquid with a distinctive detergent-like odor, reminiscent of cleaning products (in which it is sometimes used). Cyclohexane is mainly used for the industrial production of adipic acid and caprolactam, which are precursors to nylon.
"
C6H11NO2,pipecolic acid,"Pipecolic acid (piperidine-2-carboxylic acid) is an organic compound with the formula HNC5H9CO2H. It is a carboxylic acid derivative of piperidine and, as such, an amino acid, although not one encoded genetically. Like many other α-amino acids, pipecolic acid is chiral, although the S-stereoisomer is more common. It is a colorless solid.
"
C6H11NO2,cycloleucine,"Cycloleucine is a non-proteinogenic amino acid. It could be classified as a cyclic derivate of norleucine, having two hydrogen atoms less. Leading structure is a cyclopentane-ring. The α-carbon atom is not a stereocenter.
"
C6H10O4,glucal,"Glucal is the glycal formed from glucose.  It is a chemical intermediate in the synthesis of a variety of oligosaccharides.
"
C6H13NO,N-ethylmorpholine,NO DESCRIPTION
C6H10O4,ethylidene diacetate,"Ethylidene diacetate is an organic compound with the formula (CH3CO2)2CHCH3. A colorless low-melting solid, it once served as a precursor to vinyl acetate.
"
C6H10O4,conduritol,"Conduritol or 1,2,3,4-cyclohexenetetrol is any of the organic compounds with chemical formula C6H10O4, that can be seen as derivatives of cyclohexene with four hydroxyl groups (OH) replacing hydrogen atoms on the four carbon atoms not adjacent to the double bond. They are therefore cyclic polyols or cyclitols.
"
C6H10O4,adipic acid,"Adipic acid or hexanedioic acid is the organic compound with the formula (CH2)4(COOH)2. From an industrial perspective, it is the most important dicarboxylic acid: about 2.5 billion kilograms of this white crystalline powder are produced annually, mainly as a precursor for the production of nylon. Adipic acid otherwise rarely occurs in nature, but it is known as manufactured E number food additive E355. Salts and esters of adipic acid are known as adipates.
"
C6H10O4,aceburic acid,"Aceburic acid (INN), also known as 4-acetoxybutanoic acid or 4-hydroxybutyric acid acetate, is a drug described as an analgesic which was never marketed. It is the acetyl ester of gamma-hydroxybutyrate (GHB, which is 4-hydroxybutanoic acid), and based on its structural relation to GHB, is likely to behave as a prodrug to it.
"
C6H10O3,propyl pyruvate,NO DESCRIPTION
C6H10O3,pantolactone,NO DESCRIPTION
C6H10O3,2-hydroxypropyl acrylate,NO DESCRIPTION
C6H10O3,ethyl acetoacetate,"The organic compound ethyl acetoacetate (EAA) is the ethyl ester of acetoacetic acid. It is a colorless liquid. It is widely used as a chemical intermediate in the production of a wide variety of compounds. It is used as a flavoring for food.[not verified in body]
"
C6H10O3,butyl glyoxylate,NO DESCRIPTION
C6H10O3,4-acetylbutyric acid,NO DESCRIPTION
C6H10O4,dianhydrohexitol,"Dianhydrohexitols are heterocyclic compounds with the formula [OCH2CH(OH)CH]2.  These diols are colorless solids that are derived from sugars, and thus are of interest as renewable feedstocks.
"
C6H13NO2,aminocaproic acid,"Aminocaproic acid (also known as ε-aminocaproic acid, ε-Ahx, or 6-aminohexanoic acid) is a derivative and analogue of the amino acid lysine, which makes it an effective inhibitor for enzymes that bind that particular residue. Such enzymes include proteolytic enzymes like plasmin, the enzyme responsible for fibrinolysis. For this reason it is effective in treatment of certain bleeding disorders, and it is sold under the brand name Amicar. Aminocaproic acid is also an intermediate in the polymerization of Nylon-6, where it is formed by ring-opening hydrolysis of caprolactam. The crystal structure determination showed that the 6-aminohexanoic acid is present as a salt, at least in the solid state.
"
